type,status,label,a_device,a_type,a_name,b_device,b_type,b_name
power,connected,R07-SW-08 PSU2,R07-SW-08,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet8
power,connected,R07-SW-09 PSU1,R07-SW-09,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet9
power,connected,R07-SW-09 PSU2,R07-SW-09,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet9
power,connected,R07-SW-10 PSU1,R07-SW-10,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet10
power,connected,R07-SW-10 PSU2,R07-SW-10,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet10
power,connected,R07-SW-11 PSU1,R07-SW-11,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet11
power,connected,R07-SW-11 PSU2,R07-SW-11,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet11
power,connected,R07-SW-12 PSU1,R07-SW-12,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet12
power,connected,R07-SW-12 PSU2,R07-SW-12,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet12
power,connected,R07-SW-13 PSU1,R07-SW-13,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet13
power,connected,R07-SW-13 PSU2,R07-SW-13,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet13
power,connected,R07-SW-14 PSU1,R07-SW-14,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet14
power,connected,R07-SW-14 PSU2,R07-SW-14,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet14
power,connected,R07-SW-15 PSU1,R07-SW-15,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet15
power,connected,R07-SW-15 PSU2,R07-SW-15,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet15
power,connected,R07-SW-16 PSU1,R07-SW-16,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet16
power,connected,R07-SW-16 PSU2,R07-SW-16,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet16
power,connected,R07-SW-17 PSU1,R07-SW-17,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet17
power,connected,R07-SW-17 PSU2,R07-SW-17,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet17
power,connected,R07-SW-18 PSU1,R07-SW-18,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet18
power,connected,R07-SW-18 PSU2,R07-SW-18,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet18
power,connected,R07-SW-19 PSU1,R07-SW-19,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet19
power,connected,R07-SW-19 PSU2,R07-SW-19,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet19
power,connected,R07-SW-20 PSU1,R07-SW-20,powerport,PSU1,R07-PDU-A,poweroutlet,Outlet20
power,connected,R07-SW-20 PSU2,R07-SW-20,powerport,PSU2,R07-PDU-B,poweroutlet,Outlet20
power,connected,R08-RTR-01 PSU1,R08-RTR-01,powerport,PSU1,R08-PDU-A,poweroutlet,Outlet1
power,connected,R08-FW-01 PSU1,R08-FW-01,powerport,PSU1,R08-PDU-A,poweroutlet,Outlet2
power,connected,R08-SW-01 PSU1,R08-SW-01,powerport,PSU1,R08-PDU-A,poweroutlet,Outlet3
power,connected,R08-SW-02 PSU1,R08-SW-02,powerport,PSU1,R08-PDU-A,poweroutlet,Outlet4
