device,name,label,type
R03-PDU-B,Outlet15,C13-15,iec-60320-c13
R03-PDU-B,Outlet16,C13-16,iec-60320-c13
R03-PDU-B,Outlet17,C13-17,iec-60320-c13
R03-PDU-B,Outlet18,C13-18,iec-60320-c13
R03-PDU-B,Outlet19,C13-19,iec-60320-c13
R03-PDU-B,Outlet20,C13-20,iec-60320-c13
R03-PDU-B,Outlet21,C13-21,iec-60320-c13
R03-PDU-B,Outlet22,C13-22,iec-60320-c13
R03-PDU-B,Outlet23,C13-23,iec-60320-c13
R03-PDU-B,Outlet24,C13-24,iec-60320-c13
R04-PDU-A,Outlet1,C13-1,iec-60320-c13
R04-PDU-A,Outlet2,C13-2,iec-60320-c13
R04-PDU-A,Outlet3,C13-3,iec-60320-c13
R04-PDU-A,Outlet4,C13-4,iec-60320-c13
R04-PDU-A,Outlet5,C13-5,iec-60320-c13
R04-PDU-A,Outlet6,C13-6,iec-60320-c13
R04-PDU-A,Outlet7,C13-7,iec-60320-c13
R04-PDU-A,Outlet8,C13-8,iec-60320-c13
R04-PDU-A,Outlet9,C13-9,iec-60320-c13
R04-PDU-A,Outlet10,C13-10,iec-60320-c13
R04-PDU-A,Outlet11,C13-11,iec-60320-c13
R04-PDU-A,Outlet12,C13-12,iec-60320-c13
R04-PDU-A,Outlet13,C13-13,iec-60320-c13
R04-PDU-A,Outlet14,C13-14,iec-60320-c13
R04-PDU-A,Outlet15,C13-15,iec-60320-c13
R04-PDU-A,Outlet16,C13-16,iec-60320-c13
R04-PDU-A,Outlet17,C13-17,iec-60320-c13
R04-PDU-A,Outlet18,C13-18,iec-60320-c13
R04-PDU-A,Outlet19,C13-19,iec-60320-c13
R04-PDU-A,Outlet20,C13-20,iec-60320-c13
R04-PDU-A,Outlet21,C13-21,iec-60320-c13
R04-PDU-A,Outlet22,C13-22,iec-60320-c13
R04-PDU-A,Outlet23,C13-23,iec-60320-c13
R04-PDU-A,Outlet24,C13-24,iec-60320-c13
R04-PDU-B,Outlet1,C13-1,iec-60320-c13
R04-PDU-B,Outlet2,C13-2,iec-60320-c13
R04-PDU-B,Outlet3,C13-3,iec-60320-c13
R04-PDU-B,Outlet4,C13-4,iec-60320-c13
R04-PDU-B,Outlet5,C13-5,iec-60320-c13
R04-PDU-B,Outlet6,C13-6,iec-60320-c13
R04-PDU-B,Outlet7,C13-7,iec-60320-c13
R04-PDU-B,Outlet8,C13-8,iec-60320-c13
R04-PDU-B,Outlet9,C13-9,iec-60320-c13
R04-PDU-B,Outlet10,C13-10,iec-60320-c13
R04-PDU-B,Outlet11,C13-11,iec-60320-c13
R04-PDU-B,Outlet12,C13-12,iec-60320-c13
R04-PDU-B,Outlet13,C13-13,iec-60320-c13
R04-PDU-B,Outlet14,C13-14,iec-60320-c13
R04-PDU-B,Outlet15,C13-15,iec-60320-c13
R04-PDU-B,Outlet16,C13-16,iec-60320-c13
R04-PDU-B,Outlet17,C13-17,iec-60320-c13
R04-PDU-B,Outlet18,C13-18,iec-60320-c13
R04-PDU-B,Outlet19,C13-19,iec-60320-c13
R04-PDU-B,Outlet20,C13-20,iec-60320-c13
R04-PDU-B,Outlet21,C13-21,iec-60320-c13
R04-PDU-B,Outlet22,C13-22,iec-60320-c13
R04-PDU-B,Outlet23,C13-23,iec-60320-c13
R04-PDU-B,Outlet24,C13-24,iec-60320-c13
R05-PDU-A,Outlet1,C13-1,iec-60320-c13
R05-PDU-A,Outlet2,C13-2,iec-60320-c13
R05-PDU-A,Outlet3,C13-3,iec-60320-c13
R05-PDU-A,Outlet4,C13-4,iec-60320-c13
R05-PDU-A,Outlet5,C13-5,iec-60320-c13
R05-PDU-A,Outlet6,C13-6,iec-60320-c13
R05-PDU-A,Outlet7,C13-7,iec-60320-c13
R05-PDU-A,Outlet8,C13-8,iec-60320-c13
R05-PDU-A,Outlet9,C13-9,iec-60320-c13
R05-PDU-A,Outlet10,C13-10,iec-60320-c13
R05-PDU-A,Outlet11,C13-11,iec-60320-c13
R05-PDU-A,Outlet12,C13-12,iec-60320-c13
R05-PDU-A,Outlet13,C13-13,iec-60320-c13
R05-PDU-A,Outlet14,C13-14,iec-60320-c13
R05-PDU-A,Outlet15,C13-15,iec-60320-c13
R05-PDU-A,Outlet16,C13-16,iec-60320-c13
R05-PDU-A,Outlet17,C13-17,iec-60320-c13
R05-PDU-A,Outlet18,C13-18,iec-60320-c13
R05-PDU-A,Outlet19,C13-19,iec-60320-c13
R05-PDU-A,Outlet20,C13-20,iec-60320-c13
R05-PDU-A,Outlet21,C13-21,iec-60320-c13
R05-PDU-A,Outlet22,C13-22,iec-60320-c13
R05-PDU-A,Outlet23,C13-23,iec-60320-c13
R05-PDU-A,Outlet24,C13-24,iec-60320-c13
R05-PDU-B,Outlet1,C13-1,iec-60320-c13
R05-PDU-B,Outlet2,C13-2,iec-60320-c13
R05-PDU-B,Outlet3,C13-3,iec-60320-c13
R05-PDU-B,Outlet4,C13-4,iec-60320-c13
R05-PDU-B,Outlet5,C13-5,iec-60320-c13
R05-PDU-B,Outlet6,C13-6,iec-60320-c13
R05-PDU-B,Outlet7,C13-7,iec-60320-c13
R05-PDU-B,Outlet8,C13-8,iec-60320-c13
R05-PDU-B,Outlet9,C13-9,iec-60320-c13
R05-PDU-B,Outlet10,C13-10,iec-60320-c13
R05-PDU-B,Outlet11,C13-11,iec-60320-c13
R05-PDU-B,Outlet12,C13-12,iec-60320-c13
R05-PDU-B,Outlet13,C13-13,iec-60320-c13
R05-PDU-B,Outlet14,C13-14,iec-60320-c13
R05-PDU-B,Outlet15,C13-15,iec-60320-c13
R05-PDU-B,Outlet16,C13-16,iec-60320-c13
R05-PDU-B,Outlet17,C13-17,iec-60320-c13
R05-PDU-B,Outlet18,C13-18,iec-60320-c13
R05-PDU-B,Outlet19,C13-19,iec-60320-c13
R05-PDU-B,Outlet20,C13-20,iec-60320-c13
R05-PDU-B,Outlet21,C13-21,iec-60320-c13
R05-PDU-B,Outlet22,C13-22,iec-60320-c13
R05-PDU-B,Outlet23,C13-23,iec-60320-c13
R05-PDU-B,Outlet24,C13-24,iec-60320-c13
R06-PDU-A,Outlet1,C13-1,iec-60320-c13
R06-PDU-A,Outlet2,C13-2,iec-60320-c13
R06-PDU-A,Outlet3,C13-3,iec-60320-c13
R06-PDU-A,Outlet4,C13-4,iec-60320-c13
R06-PDU-A,Outlet5,C13-5,iec-60320-c13
R06-PDU-A,Outlet6,C13-6,iec-60320-c13
R06-PDU-A,Outlet7,C13-7,iec-60320-c13
R06-PDU-A,Outlet8,C13-8,iec-60320-c13
R06-PDU-A,Outlet9,C13-9,iec-60320-c13
R06-PDU-A,Outlet10,C13-10,iec-60320-c13
R06-PDU-A,Outlet11,C13-11,iec-60320-c13
R06-PDU-A,Outlet12,C13-12,iec-60320-c13
R06-PDU-A,Outlet13,C13-13,iec-60320-c13
R06-PDU-A,Outlet14,C13-14,iec-60320-c13
R06-PDU-A,Outlet15,C13-15,iec-60320-c13
R06-PDU-A,Outlet16,C13-16,iec-60320-c13
R06-PDU-A,Outlet17,C13-17,iec-60320-c13
R06-PDU-A,Outlet18,C13-18,iec-60320-c13
R06-PDU-A,Outlet19,C13-19,iec-60320-c13
R06-PDU-A,Outlet20,C13-20,iec-60320-c13
R06-PDU-A,Outlet21,C13-21,iec-60320-c13
R06-PDU-A,Outlet22,C13-22,iec-60320-c13
R06-PDU-A,Outlet23,C13-23,iec-60320-c13
R06-PDU-A,Outlet24,C13-24,iec-60320-c13
R06-PDU-B,Outlet1,C13-1,iec-60320-c13
R06-PDU-B,Outlet2,C13-2,iec-60320-c13
R06-PDU-B,Outlet3,C13-3,iec-60320-c13
R06-PDU-B,Outlet4,C13-4,iec-60320-c13
R06-PDU-B,Outlet5,C13-5,iec-60320-c13
R06-PDU-B,Outlet6,C13-6,iec-60320-c13
R06-PDU-B,Outlet7,C13-7,iec-60320-c13
R06-PDU-B,Outlet8,C13-8,iec-60320-c13
R06-PDU-B,Outlet9,C13-9,iec-60320-c13
R06-PDU-B,Outlet10,C13-10,iec-60320-c13
R06-PDU-B,Outlet11,C13-11,iec-60320-c13
R06-PDU-B,Outlet12,C13-12,iec-60320-c13
R06-PDU-B,Outlet13,C13-13,iec-60320-c13
R06-PDU-B,Outlet14,C13-14,iec-60320-c13
R06-PDU-B,Outlet15,C13-15,iec-60320-c13
R06-PDU-B,Outlet16,C13-16,iec-60320-c13
R06-PDU-B,Outlet17,C13-17,iec-60320-c13
R06-PDU-B,Outlet18,C13-18,iec-60320-c13
R06-PDU-B,Outlet19,C13-19,iec-60320-c13
R06-PDU-B,Outlet20,C13-20,iec-60320-c13
R06-PDU-B,Outlet21,C13-21,iec-60320-c13
R06-PDU-B,Outlet22,C13-22,iec-60320-c13
R06-PDU-B,Outlet23,C13-23,iec-60320-c13
R06-PDU-B,Outlet24,C13-24,iec-60320-c13
R07-PDU-A,Outlet1,C13-1,iec-60320-c13
R07-PDU-A,Outlet2,C13-2,iec-60320-c13
R07-PDU-A,Outlet3,C13-3,iec-60320-c13
R07-PDU-A,Outlet4,C13-4,iec-60320-c13
R07-PDU-A,Outlet5,C13-5,iec-60320-c13
R07-PDU-A,Outlet6,C13-6,iec-60320-c13
R07-PDU-A,Outlet7,C13-7,iec-60320-c13
R07-PDU-A,Outlet8,C13-8,iec-60320-c13
R07-PDU-A,Outlet9,C13-9,iec-60320-c13
R07-PDU-A,Outlet10,C13-10,iec-60320-c13
R07-PDU-A,Outlet11,C13-11,iec-60320-c13
R07-PDU-A,Outlet12,C13-12,iec-60320-c13
R07-PDU-A,Outlet13,C13-13,iec-60320-c13
R07-PDU-A,Outlet14,C13-14,iec-60320-c13
R07-PDU-A,Outlet15,C13-15,iec-60320-c13
R07-PDU-A,Outlet16,C13-16,iec-60320-c13
R07-PDU-A,Outlet17,C13-17,iec-60320-c13
R07-PDU-A,Outlet18,C13-18,iec-60320-c13
R07-PDU-A,Outlet19,C13-19,iec-60320-c13
R07-PDU-A,Outlet20,C13-20,iec-60320-c13
R07-PDU-A,Outlet21,C13-21,iec-60320-c13
R07-PDU-A,Outlet22,C13-22,iec-60320-c13
R07-PDU-A,Outlet23,C13-23,iec-60320-c13
R07-PDU-A,Outlet24,C13-24,iec-60320-c13
R07-PDU-B,Outlet1,C13-1,iec-60320-c13
R07-PDU-B,Outlet2,C13-2,iec-60320-c13
R07-PDU-B,Outlet3,C13-3,iec-60320-c13
R07-PDU-B,Outlet4,C13-4,iec-60320-c13
R07-PDU-B,Outlet5,C13-5,iec-60320-c13
R07-PDU-B,Outlet6,C13-6,iec-60320-c13
R07-PDU-B,Outlet7,C13-7,iec-60320-c13
R07-PDU-B,Outlet8,C13-8,iec-60320-c13
R07-PDU-B,Outlet9,C13-9,iec-60320-c13
R07-PDU-B,Outlet10,C13-10,iec-60320-c13
R07-PDU-B,Outlet11,C13-11,iec-60320-c13
R07-PDU-B,Outlet12,C13-12,iec-60320-c13
R07-PDU-B,Outlet13,C13-13,iec-60320-c13
R07-PDU-B,Outlet14,C13-14,iec-60320-c13
R07-PDU-B,Outlet15,C13-15,iec-60320-c13
R07-PDU-B,Outlet16,C13-16,iec-60320-c13
R07-PDU-B,Outlet17,C13-17,iec-60320-c13
R07-PDU-B,Outlet18,C13-18,iec-60320-c13
R07-PDU-B,Outlet19,C13-19,iec-60320-c13
R07-PDU-B,Outlet20,C13-20,iec-60320-c13
R07-PDU-B,Outlet21,C13-21,iec-60320-c13
R07-PDU-B,Outlet22,C13-22,iec-60320-c13
R07-PDU-B,Outlet23,C13-23,iec-60320-c13
R07-PDU-B,Outlet24,C13-24,iec-60320-c13
R08-PDU-A,Outlet1,C13-1,iec-60320-c13
R08-PDU-A,Outlet2,C13-2,iec-60320-c13
R08-PDU-A,Outlet3,C13-3,iec-60320-c13
R08-PDU-A,Outlet4,C13-4,iec-60320-c13
R08-PDU-A,Outlet5,C13-5,iec-60320-c13
R08-PDU-A,Outlet6,C13-6,iec-60320-c13
R08-PDU-A,Outlet7,C13-7,iec-60320-c13
R08-PDU-A,Outlet8,C13-8,iec-60320-c13
R08-PDU-A,Outlet9,C13-9,iec-60320-c13
R08-PDU-A,Outlet10,C13-10,iec-60320-c13
R08-PDU-A,Outlet11,C13-11,iec-60320-c13
R08-PDU-A,Outlet12,C13-12,iec-60320-c13
R08-PDU-A,Outlet13,C13-13,iec-60320-c13
R08-PDU-A,Outlet14,C13-14,iec-60320-c13
R08-PDU-A,Outlet15,C13-15,iec-60320-c13
R08-PDU-A,Outlet16,C13-16,iec-60320-c13
R08-PDU-A,Outlet17,C13-17,iec-60320-c13
R08-PDU-A,Outlet18,C13-18,iec-60320-c13
R08-PDU-A,Outlet19,C13-19,iec-60320-c13
R08-PDU-A,Outlet20,C13-20,iec-60320-c13
R08-PDU-A,Outlet21,C13-21,iec-60320-c13
R08-PDU-A,Outlet22,C13-22,iec-60320-c13
R08-PDU-A,Outlet23,C13-23,iec-60320-c13
R08-PDU-A,Outlet24,C13-24,iec-60320-c13
